Right Cerebrum.Frontal Lobe.Inferior Frontal Gyrus.Gray Matter.Brodmann area 13,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 13,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 13,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 47,
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 47,
Left Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 11,287
Right Cerebrum.Frontal Lobe.Subcallosal Gyrus.Gray Matter.Brodmann area 11,123
Right Cerebrum.Frontal Lobe.Middle Frontal Gyrus.Gray Matter.Brodmann area 47,
Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 17,
Right Cerebrum.*.*.Gray Matter.Brodmann area 18,
Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 17,
Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 18,
Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 18,
Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.White Matter.*,
Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.White Matter.*,
Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.*.*,
Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Sub-Gyral.*.*,298
Right Cerebrum.*.Sub-Gyral.*.*,141
Right Cerebrum.Occipital Lobe.Sub-Gyral.*.*,
Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 19,
Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 19,
*.*.Middle Occipital Gyrus.*.*,
Right Cerebrum.*.Lingual Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Sub-Gyral.White Matter.*,
Right Cerebrum.Occipital Lobe.Sub-Gyral.White Matter.*,139
Left Cerebellum.Anterior Lobe.Culmen of Vermis.Gray Matter.*,
Right Cerebellum.Anterior Lobe.Culmen of Vermis.Gray Matter.*,
Left Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.Occipital Lobe.Middle Occipital Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.*.*,
Left Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.White Matter.*,
